"a, an","indefinite, article","а,",
related,Adjective,Связанный,These two issues are closely related.
relation,Noun,связь,The study explores the relation between stress and health.
relationship,Noun,отношения,Building a strong relationship takes time and effort.
relative,Adjective Noun,родственник,She invited all her relatives to the family reunion.
relatively,Adverb,относительно,The price of the product is relatively high compared to its features.
relax,Verb,расслабиться,I like to relax by taking a long walk in the park.
relaxed,Adjective,ослаблены,"After a day of work, he felt relaxed and calm."
relaxing,Adjective,расслабляющий,She enjoys reading a book and taking a bath as a relaxing evening routine.
release,Verb Noun,релиз,The company plans to release a new product next month.
relevant,Adjective,Соответствующий,The information provided is not relevant to the topic.
reliable,Adjective,надежный,He is a reliable person who always keeps his promises.
relief,Noun,рельеф,She felt a sense of relief after completing her exams.
religion,Noun,религия,Freedom of religion is a fundamental right.
religious,Adjective,религиозная,He follows a strict religious practice.
rely,Verb,полагаться,I rely on public transportation to get to work.
remain,Verb,оставаться,She decided to remain in the city for another year.
remark,Noun Verb,замечание,He made an interesting remark during the meeting.
remember,Verb,Помните,I can't remember where I put my keys.
remind,Verb,напоминать,Can you remind me to buy milk on your way home?
remote,Adjective,удаленный,They live in a remote village in the mountains.
remove,Verb,удалять,Please remove your shoes before entering the house.
rent,Noun Verb,арендная плата,The monthly rent for the apartment is quite high.
repair,"Verb , Noun",ремонт,He hired a professional to repair his car.
repeat,"Verb , Noun",повторение,The teacher asked the students to repeat the experiment.
repeated,Adjective,повторный,She made the same mistake on repeated occasions.
replace,Verb,замещать,We need to replace the old light bulbs with energy-saving ones.
reply,Verb Noun,Ответить,He replied to my email within a few hours.
report,"Noun, Verb",доклад,She presented her research report at the conference.
reporter,Noun,репортер,The reporter interviewed the mayor about the new policy.
represent,Verb,представлять,The lawyer will represent the defendant in court.
representative,Noun Adjective,представитель,The company sent a representative to negotiate the contract.
reputation,Noun,репутации,The restaurant has a reputation for serving delicious food.
request,"Noun, Verb",запрос,I submitted a request for a refund of the faulty product.
require,Verb,требовать,This job requires a high level of attention to detail.
requirement,Noun,требование,Meeting the minimum qualification is a requirement for this position.
rescue,Verb Noun,спасение,The firefighters arrived in time to rescue the people trapped in the burning building.
research,Noun Verb,исследовательская работа,She conducted extensive research on the effects of climate change.
researcher,Noun,Исследователь,The researcher presented her findings at the conference.
reservation,Noun,бронирование,I made a reservation for two at the restaurant.
reserve,Noun Verb,резерв,We have a reserve of supplies in case of an emergency.
resident,NounAdjective,резидент,He became a permanent resident of the country after living there for five years.
resist,Verb,оказывать сопротивление,"They tried to resist the temptation, but eventually gave in."
resolve,Verb,разрешить,The conflict was resolved through peaceful negotiations.
resort,Noun,прибегать,They decided to go to the beach resort for their vacation.
resource,Noun,ресурс,The country is rich in natural resources like oil and gas.
respect,Noun Verb,уважать,He showed great respect for his elders.
respond,Verb,отвечать,She didn't respond to my email.
response,Noun,ответ,The audience gave a positive response to the speaker's speech.
responsibility,Noun,обязанность,Taking care of a pet is a big responsibility.
responsible,Adjective,ответственность,She is a responsible person who always meets her deadlines.
rest (remaining part),Noun,отдыха (оставшаяся часть),He ate half of the cake and saved the rest for later.
rest (sleep/relax),Noun Verb,Остальной (сон / отдых),"After a long day, she sat down to rest and relax."
restaurant,Noun,ресторан,They had dinner at a fancy restaurant in the city.
result,"Noun, Verb",результат,The result of the experiment confirmed the hypothesis.
retain,Verb,сохранить,It's important to retain customers by providing excellent service.
retire,Verb,выходить на пенсию,He plans to retire next year after working for 40 years.
retired,Adjective,на пенсии,My father is retired and enjoys traveling.
return,Verb Noun,возвращение,They decided to return to their home country after living abroad for several years.
reveal,Verb,выявить,The detective revealed the identity of the murderer.
review,Noun Verb,обзор,I read a positive review of the new movie.
revise,Verb,сверка,She revised her notes before the final exam.
revolution,Noun,революция,The French Revolution had a significant impact on European history.
reward,Noun Verb,вознаграждение,He received a reward for his bravery.
rhythm,Noun,ритм,The music had a catchy rhythm that made everyone want to dance.
rice,Noun,рис,I cooked a delicious dish with jasmine rice.
rich,Adjective,богатый,He became rich after starting his own business.
rid,Verb,избавиться,She wants to rid her house of pests.
ride,"Verb , Noun",поездка,They decided to ride bicycles to the park.
right,Adjective Adverb Noun,право,Everyone has the right to freedom of speech.
ring,Noun,кольцо,She received a beautiful diamond ring for her birthday.
ring,"Verb , Noun",кольцо,"The phone began to ring, interrupting our conversation."
rise,"Verb , Noun",подъем,The sun will rise in the east tomorrow morning.
risk,Noun Verb,риск,There is a high risk of flooding in this area.
river,Noun,река,They went canoeing on the river during their vacation.
road,Noun,Дорога,The road was closed due to construction.
robot,Noun,робот,The factory uses robots to assemble cars.
rock (stone),Noun,рок (камень),She tripped over a rock and fell.
rock (music),Noun,рок музыка),He enjoys listening to classic rock music.
role,Noun,роль,She played the lead role in the school play.
roll,Verb Noun,рулон,He rolled the dice and got a six.
romantic,Adjective,романтик,They went on a romantic date to the beach.
roof,Noun,крыша,The rain started pouring through the holes in the roof.
room,Noun,комната,The hotel room was spacious and comfortable.
root,Noun,корень,The plant's roots reached deep into the ground.
rope,Noun,веревка,They used a rope to climb up the steep mountain.
rough,Adjective,грубый,The surface of the sandpaper was rough.
round,"Adjective Adverb prep., Noun",круглый,They sat around the round table for the meeting.
route,Noun,маршрут,We took a scenic route to enjoy the beautiful countryside.
routine,"Noun, Adjective",рутинный,She followed a daily routine to stay organized.
row,Noun,строка,She sat in the front row of the concert hall.
royal,Adjective,королевский,The royal family attended the opening ceremony.
rub,Verb,руб,She rubbed her hands together to warm them up.
rubber,Noun Adjective,резинка,He erased the mistake with a rubber.
rubbish,Noun,мусор,Please throw the rubbish in the trash bin.
rude,Adjective,грубый,It's rude to interrupt someone while they're speaking.
rugby,Noun,регби,He enjoys playing rugby with his friends on the weekends.
rule,"Noun, Verb",правило,The teacher explained the rules of the game.
run,"Verb , Noun",бегать,They decided to run a marathon for charity.
runner,Noun,бегун,She is a competitive runner and participates in races.
running,Noun,Бег,Running is a great form of exercise.
rural,Adjective,сельская местность,They live in a small rural village surrounded by farmland.
rush,Verb Noun,порыв,"I was in a rush to catch the bus, so I didn't have time to eat breakfast."
sad,Adjective,печальный,She felt sad when she heard the news.
sadly,Adverb,грустно,"The dog looked sadly at his owner, hoping for a treat."
safe,Adjective,сейф,Keep your valuables in a safe place.
safety,Noun,безопасность,The company prioritizes the safety of its employees.
sail,"Verb , Noun",паруса,They plan to sail around the world on a yacht.
sailing,Noun,парусный спорт,He enjoys sailing on the weekends.
sailor,Noun,матрос,He dreamed of becoming a sailor and traveling the world.
salad,Noun,салат,She ordered a Caesar salad for lunch.
salary,Noun,зарплата,He received a raise in his salary after his performance review.
sale,Noun,продажа,The store is having a big sale on all clothing items.
salt,Noun,поваренная соль,Add a pinch of salt to the soup for flavor.
same,Adjective proNoun Adverb,тем же,We visited the same restaurant we went to last year.
sample,"Noun, Verb",образец,They handed out free samples of the new product at the mall.
sand,Noun,песок,The children built sandcastles on the beach.
sandwich,Noun,сэндвич,He made himself a turkey sandwich for lunch.
satellite,Noun,спутниковое,The satellite orbiting the Earth captures images of the planet.
satisfied,Adjective,доволен,She was satisfied with the outcome of the negotiation.
satisfy,Verb,удовлетворять,The restaurant aims to satisfy its customers with delicious food and great service.
Saturday,Noun,суббота,They planned a picnic for Saturday afternoon.
sauce,Noun,соус,She poured the tomato sauce over the pasta.
save,Verb,спасти,The lifeguard jumped into the water to save the drowning swimmer.
saving,Noun,экономия,She managed to make some saving by cutting down on unnecessary expenses.
say,Verb,сказать,Can you please say that again?
scale,Noun,масштаб,"The map showed the scale of the city, including the major landmarks."
scan,Verb,сканирование,The librarian scanned the barcode on the book to check it out.
scared,Adjective,испуганный,The little girl was scared of the dark.
scary,Adjective,страшно,The horror movie was too scary for me to watch.
scene,Noun,место действия,The crime scene was cordoned off by the police.
schedule,"Noun, Verb",график,I need to check my schedule before I can confirm the meeting.
scheme,Noun,схема,The company implemented a new marketing scheme to increase sales.
school,Noun,школа,My daughter attends the local primary school.
science,Noun,наука,He has a passion for science and conducts experiments in his lab.
scientific,Adjective,научный,The scientists conducted a series of scientific experiments to test their hypothesis.
scientist,Noun,ученый,The renowned scientist was awarded the Nobel Prize for his groundbreaking research.
score,Verb Noun,Гол,He scored a goal in the final minutes of the game.
scream,Verb Noun,визг,She let out a loud scream when she saw the spider.
screen,NounVerb,экран,The movie was projected onto the big screen in the theater.
script,Noun,скрипт,The actors rehearsed their lines from the script.
sculpture,Noun,скульптура,The museum displayed a collection of ancient Greek sculptures.
sea,Noun,море,They spent their vacation relaxing by the sea.
search,Noun Verb,поиск,I conducted a search online to find information about the topic.
season,Noun,сезон,Winter is my favorite season because I love snowboarding.
seat,Noun Verb,сиденье,Please find a seat and make yourself comfortable.
second1 (next after the first),"et./ number, Adverb",second1 (следующий после первого),He came in second1 place in the race.
second1 (unit of time),Noun,second1 (единица времени),She waited for a second1 before answering the question.
secondary,Adjective,вторичный,The secondary purpose of the study was to gather additional data.
secondly,Adverb,во-вторых,"Firstly, we need to gather the necessary materials. Secondly, we can start the experiment."
secret,"Adjective, Noun",секрет,Can you keep a secret?
secretary,Noun,секретарь,The secretary organized the files and answered phone calls.
section,Noun,раздел,"The book is divided into several sections, each covering a different topic."
sector,Noun,сектор,The technology sector has seen significant growth in recent years.
secure,Verb Adjective,безопасный,They installed security cameras to secure the premises.
security,Noun,безопасность,The company takes security seriously and has strict protocols in place.
see,Verb,видеть,I can't see anything without my glasses.
seed,Noun,семя,She planted the seeds in the garden and watched them grow into beautiful flowers.
seek,Verb,искать,He traveled the world to seek new experiences and adventures.
seem,Verb,казаться,She seems happy with her new job.
select,Verb,Выбрать,Please select your preferred option from the list.
selection,Noun,выбор,The store offers a wide selection of products for customers to choose from.
self,Noun,сам,She needs some time alone to reflect on herself and her goals.
sell,Verb,продам,He decided to sell his car and buy a new one.
send,Verb,Отправить,I will send you the document via email.
senior,Adjective,старшая,She is the senior manager of the department.
sense,Noun Verb,смысл,The poem has a deep sense of melancholy.
sensible,Adjective,здравомыслящий,It is sensible to wear a helmet while riding a bike.
sensitive,Adjective,чувствительный,He is a sensitive person who is easily affected by other people's emotions.
sentence,Noun Verb,приговор,The judge handed down a harsh sentence to the convicted criminal.
separate,"Adjective, Verb",отдельный,The company has separate departments for sales and marketing.
September,Noun,сентябрь,My birthday is in September.
sequence,Noun,последовательность,The numbers are arranged in a sequence from smallest to largest.
series,Noun,серии,I'm binge-watching my favorite TV series on Netflix.
serious,Adjective,серьезный,"The doctor gave her a serious diagnosis, and she started treatment immediately."
seriously,Adverb,шутки в сторону,I wasn't joking. I seriously think we need to address this issue.
servant,Noun,служащий,The servant brought tea to the guests in the living room.
serve,Verb,обслуживать,She works at a restaurant and likes to serve customers with a smile.
service,Noun,служба,The customer service representative was helpful and resolved my issue quickly.
session,Noun,сессия,The therapy session lasted for one hour.
set (put),Verb,набор (положить),Please set the book on the shelf.
set (group),Noun,комплект (группа),"The set of dishes includes plates, bowls, and cups."
setting,Noun,установка,The technician adjusted the setting on the thermostat.
settle,Verb,селиться,They decided to settle in a small town after retirement.
seven,number,Семь,There are seven days in a week.
seventeen,number,семнадцать,She celebrated her seventeenth birthday with her friends and family.
seventy,number,семьдесят,He is seventy years old and still active and healthy.
several,det./proNoun,несколько,I have several books on my bookshelf.
severe,Adjective,тяжелая форма,The patient was in severe pain and required immediate medical attention.
sex,Noun,секс,The topic of sex education is important for teenagers.
sexual,Adjective,половой,The teacher explained the concept of sexual reproduction to the students.
shade,Noun,тень,They sat under the shade of a tree to escape the hot sun.
shadow,Noun,тень,The child was scared of the shadow on the wall.
shake,Verb,сотрясения,He shook his head to indicate disagreement.
shall,modal Verb,должен,Shall we go out for dinner tonight?
shallow,Adjective,мелкий,"The water in the pond is shallow, so be careful when swimming."
shame,Noun,позор,He felt a deep sense of shame for his actions.
shape,Noun Verb,форма,The sculpture was carved into the shape of a human figure.
share,Verb Noun,Поделиться,She decided to share her dessert with her friends.
sharp,Adjective,острый,Be careful with that knife. It's very sharp.
she,proNoun,она,She is a talented musician and plays the piano beautifully.
sheep,Noun,овец,The farmer counted his sheep before putting them in the pen.
sheet,Noun,простынь,She changed the sheets on the bed to freshen up the room.
shelf,Noun,полка,He placed the book back on the shelf after reading it.
shell,Noun,оболочка,She picked up a seashell from the beach and listened to the sound of the ocean.
shelter,Noun Verb,укрытие,The homeless people sought shelter in the church during the winter.
shift,Noun Verb,сдвиг,He worked the night shift at the hospital.
shine,Verb,блеск,The sun shines brightly in the sky during the summer.
shiny,Adjective,блестящий,She wore a shiny silver dress to the party.
ship,Noun Verb,корабль,The cargo ship transported goods from one country to another.
shirt,Noun,Рубашка,He wore a clean white shirt to the job interview.
shock,Noun Verb,шок,The news of his sudden death was a shock to everyone who knew him.
shocked,Adjective,в шоке,She was shocked by the price of the luxury car.
shoe,Noun,башмак,She bought a new pair of running shoes for her marathon training.
shoot,Verb,стрелять,The hunter aimed his rifle and shot at the target.
shooting,Noun,стрельба,They went to the shooting range to practice their marksmanship.
shop,Noun Verb,магазин,She went to the grocery shop to buy some milk and bread.
shopping,Noun,поход по магазинам,She enjoys shopping for new clothes on the weekends.
short,Adjective,короткая,"He is a short man, standing only 5 feet tall."
shot,Noun,выстрел,The basketball player made a perfect shot and scored two points.
should,modal Verb,должен,You should brush your teeth twice a day for good oral hygiene.
shoulder,Noun,плечо,He carried a heavy bag on his shoulder.
shout,Verb Noun,окрик,She shouted for help when she saw the fire.
show,Verb Noun,шоу,The magician put on a spectacular show that amazed the audience.
shower,Noun,душ,She took a quick shower to freshen up before the party.
shut,Verb Adjective,закрыты,Please shut the door behind you when you leave.
shy,Adjective,застенчивый,He's shy and doesn't like being the center of attention.
sick,Adjective,больной,She called in sick and stayed home from work.
side,Noun,сторона,"He sat on the side of the road, waiting for a ride."
sight,Noun,зрение,"Her sight has been deteriorating, so she wears glasses."
sign,Noun Verb,подписать,She asked him to sign the contract before they could proceed.
signal,Noun Verb,сигнал,"The traffic light changed to green, and he took it as a signal to start driving."
significant,Adjective,существенный,The new policy had a significant impact on the company's profits.
significantly,Adverb,существенно,The price of the house was significantly reduced after being on the market for several months.
silence,Noun,тишина,The room fell into silence as everyone waited for the speaker's announcement.
silent,Adjective,бесшумный,The library was silent except for the sound of turning pages.
silk,Noun,шелк,She bought a silk scarf as a gift for her mother.
silly,Adjective,глупый,The children laughed at the silly joke.
silver,Noun Adjective,Серебряный,She wore a silver necklace with a pendant.
similar,Adjective,аналогичный,The two paintings have similar color schemes and brushstroke techniques.
similarity,Noun,сходство,There is a striking similarity between the two buildings.
similarly,Adverb,так же,"She enjoys swimming, and similarly, her brother is a talented swimmer."
simple,Adjective,просто,The solution to the problem is simple; just turn it off and then on again.
simply,Adverb,просто,"She explained the concept simply, using everyday examples."
since,"prep. conj., Adverb",поскольку,"Since it's raining, we should take umbrellas."
sincere,Adjective,искренний,She gave a sincere apology for her mistake.
sing,Verb,Петь,He loves to sing and often performs at local venues.
singer,Noun,певец,The famous singer captivated the audience with her powerful voice.
singing,Noun,пение,She joined the school choir because she enjoys singing.
single,Adjective Noun,не замужем,She is a single woman living independently.
sink,Verb,раковина,The dirty dishes were piled up in the sink.
sir,Noun,сэр,"The customer addressed the waiter as ""sir"" when placing the order."
sister,Noun,сестра,She has a younger sister who always tags along with her.
sit,Verb,сидеть,Please sit down and make yourself comfortable.
site,Noun,сайт,The construction workers cleared the site before starting the building project.
situation,Noun,ситуация,The current economic situation has led to job losses and financial uncertainty.
six,number,шесть,There are six eggs in the carton.
sixteen,number,шестнадцать,She will turn sixteen next month and plans to have a big party.
sixty,number,шестьдесят,He celebrated his sixtieth birthday with a grand celebration.
size,Noun,размер,She tried on several dresses to find the perfect size.
ski,Verb Noun,лыжа,They love to ski during the winter months.
skiing,Noun,кататься на лыжах,Skiing is a popular winter sport in many countries.
skill,Noun,умение,He has excellent leadership skills that make him an effective manager.
skin,Noun,кожа,She has fair skin that burns easily in the sun.
skirt,Noun,юбка,She wore a floral skirt and a white blouse to the party.
sky,Noun,небо,The sky was clear and filled with stars.
slave,Noun,рабыня,Slavery was abolished in many countries during the 19th century.
sleep,"Verb , Noun",спать,I need to get enough sleep to feel rested and energized.
slice,Noun Verb,ломтик,She cut a slice of cake for each of the guests.
slide,Verb Noun,горка,The children had fun sliding down the water slide at the water park.
slight,Adjective,незначительный,She noticed a slight change in his behavior towards her.
slightly,Adverb,немного,The temperature dropped slightly overnight.
slip,Verb,слип,She slipped on the wet floor and fell.
slope,Noun Verb,скат,The ski slope was steep and challenging.
slow,"Adjective , Verb",медленный,The tortoise is slow but steady.
slowly,Adverb,медленно,He walked slowly to savor the beautiful scenery.
small,Adjective,маленький,The small kitten fit comfortably in her palm.
smart,Adjective,умная,She is a smart student who always gets top grades.
smartphone,Noun,смартфон,He uses his smartphone to stay connected with friends and family.
smell,Verb Noun,запах,She could smell the delicious aroma of freshly baked bread.
smile,Verb Noun,улыбка,The little girl smiled brightly when she saw her favorite toy.
smoke,Noun Verb,дым,Dark smoke billowed from the burning building.
smoking,Noun,курение,Smoking is prohibited in this area.
smooth,Adjective,гладкий; плавный,The surface of the lake was smooth as glass.
snake,Noun,змея,The snake slithered through the grass silently.
snow,Noun Verb,снег,The children built a snowman in the backyard.
so,Adverb conj.,так,"She was tired, so she decided to take a nap."
soap,Noun,мыло,He washed his hands with soap and water.
soccer,Noun,футбольный,They play soccer every weekend with their friends.
social,Adjective,Социальное,Social media has become a popular platform for communication.
society,Noun,общество,The society organized a charity event to raise funds for the homeless.
sock,Noun,носок,She put on a clean pair of socks before going for a run.
soft,Adjective,мягкий,The baby's skin was soft and smooth.
software,Noun,программное обеспечение,He develops software applications for businesses.
soil,Noun,почва,The soil in this region is fertile and perfect for farming.
solar,Adjective,солнечный,They installed solar panels on the roof to generate electricity.
soldier,Noun,солдат,The brave soldier fought for his country.
solid,Adjective Noun,твердый,The table is made of solid wood and can withstand heavy weight.
solution,Noun,решение,She came up with a creative solution to the problem.
solve,Verb,решить,He solved the math problem quickly.
some,det. proNoun,некоторые,Some people prefer tea over coffee.
somebody,proNoun,кто-то,Is somebody there?
someone,proNoun,кто-то,Someone left their umbrella in the classroom.
something,proNoun,что-то,I forgot something important at home.
sometimes,Adverb,иногда,"Sometimes, it's nice to just relax and do nothing."
somewhat,Adverb,в некотором роде,The weather was somewhat colder than expected.
somewhere,Adverb proNoun,где-то,"I left my keys somewhere in the house, but I can't remember where."
son,Noun,сын,Her son is studying abroad for his college education.
song,Noun,песня,She sang a beautiful song at the talent show.
soon,Adverb,скоро,The movie will be released soon in theaters.
sorry,Adjective exclam.,Прости,"Sorry, I didn't mean to spill your drink."
sort,"Noun, Verb",сортировать,She sorted her clothes by color before putting them in the closet.
soul,Noun,душа,Music has the power to touch the soul.
sound,Noun Verb,звук,The sound of birds chirping filled the air.
soup,Noun,суп,She made a delicious vegetable soup for dinner.
source,Noun,источник,The internet is a vast source of information.
south,Noun Adjective Adverb,юг,They traveled south for their summer vacation.
southern,Adjective,южный,They moved to a southern city to enjoy the warm climate.
space,Noun,пространство,The spacecraft traveled through outer space.
speak,Verb,говорить,She can speak multiple languages fluently.
speaker,Noun,оратор,The speaker captivated the audience with her inspiring words.
special,Adjective,специальный,They prepared a special surprise for her birthday.
specialist,Noun Adjective,специалист,The company hired a marketing specialist to promote their products.
species,Noun,вид,There are thousands of different species of plants in the rainforest.
specific,Adjective,конкретный,She provided specific instructions on how to complete the task.
specifically,Adverb,конкретно,He requested a meeting to discuss the matter specifically with her.
speech,Noun,речь,The politician delivered an inspiring speech to the crowd.
speed,"Noun, Verb",скорость,He was driving at a high speed on the highway.
spell,Verb,орфографии,"Can you spell your last name for me, please?"
spelling,Noun,написание,She won the spelling bee competition with her excellent spelling skills.
spend,Verb,проводить,They decided to spend their vacation in a tropical paradise.
spending,Noun,расходы,She carefully tracked her spending to stay within her budget.
spicy,Adjective,пряный,The dish was too spicy for her taste buds.
spider,Noun,паук,She screamed when she saw a spider crawling on the wall.
spirit,Noun,дух,The team showed great spirit and determination throughout the game.
spiritual,Adjective,духовный,Yoga and meditation have a spiritual significance for many people.
split,Verb Noun,Трещина,The rock split in two when it was struck by lightning.
spoken,Adjective,говорят,English is widely spoken around the world.
sponsor,Verb Noun,спонсор,The company agreed to sponsor the event and provide financial support.
spoon,Noun,ложка,She stirred the soup with a spoon before tasting it.
sport,Noun,спорт,He enjoys playing various sports such as basketball and soccer.
spot,"Noun, Verb",определять,She found a cozy spot under the shade of a tree to read her book.
spread,"Verb , Noun",распространение,The news of their engagement quickly spread among their friends.
spring,"Noun, Verb",весна,"The flowers bloom in spring, filling the gardens with vibrant colors."
square,Adjective Noun,квадрат,The garden had a beautiful square fountain in the center.
stable,Adjective,стабильный,She prefers to work in a stable environment without constant changes.
stadium,Noun,стадион,The stadium was packed with enthusiastic fans cheering for their team.
staff,Noun,штат сотрудников,The company hired additional staff to meet the increased demand.
stage,"Noun, Verb",этап,The project is in the final stage of development.
stair,Noun,ступенька,"She tripped and fell down a stair, hurting her ankle."
stamp,Noun,печать,He collected rare stamps from different countries.
stand,"Verb , Noun",стоять,Please stand in line and wait for your turn.
standard,Noun Adjective,стандарт,The company aims to provide high-quality products that meet industry standards.
star,"Noun, Verb",звезда,The night sky was filled with shining stars.
stare,Verb,глазеть,She couldn't help but stare at the beautiful sunset.
start,"Verb , Noun",Начало,The race will start in ten minutes.
state,"Noun, Adjective, v",штат,She moved to a different state for a job opportunity.
statement,Noun,заявление,He issued a statement clarifying his position on the matter.
station,Noun,станция,The train arrived at the station on time.
statistic,Noun,статистика,The statistic showed an increase in sales for the past quarter.
statue,Noun,статуя,The city is known for its famous statues and sculptures.
status,Noun,положение дел,She checked the status of her flight online.
stay,"Verb , Noun",оставаться,They decided to stay at a cozy bed and breakfast for their vacation.
steady,Adjective,неуклонный,The company has seen steady growth over the past year.
steal,Verb,украсть,Someone stole her purse while she was shopping.
steel,Noun,стали,The bridge is made of strong steel to withstand heavy traffic.
steep,Adjective,крутой,The hikers faced a steep climb to reach the mountain peak.
step,"Noun, Verb",шаг,She took a step forward and introduced herself to the audience.
stick (push into/attach),Verb,клюшка (толчок в / присоединять),He used glue to stick the broken pieces back together.
stick (piece of wood),Noun,палочка (кусок дерева),The children collected sticks from the forest to build a campfire.
sticky,Adjective,липкий,The spilled soda left a sticky residue on the table.
stiff,Adjective,жесткий,The new shoes were stiff and uncomfortable.
still,"Adverb , Adjective",по-прежнему,She still remembers her childhood friends after all these years.
stock,Noun,акции,He invested in the stock market to grow his wealth.
stomach,Noun,желудок,Her stomach growled with hunger.
stone,Noun,камень,They skipped stones across the surface of the lake.
stop,Verb Noun,стоп,"The traffic light turned red, and all the cars came to a stop."
store,"Noun, Verb",хранить,She went to the grocery store to buy ingredients for dinner.
storm,Noun,буря,The storm brought heavy rain and strong winds.
story,Noun,история,He enjoys reading mystery stories before going to bed.
straight,Adverb Adjective,Прямо,The road goes straight through the town center.
strange,Adjective,странный,She had a strange feeling that someone was watching her.
stranger,Noun,незнакомец,She approached a stranger and asked for directions.
strategy,Noun,стратегия,The company developed a new marketing strategy to increase sales.
stream,Noun,поток,They sat by the stream and enjoyed the peaceful sound of running water.
street,Noun,улица,The street was lined with shops and restaurants.
strength,Noun,сила,He lifted the heavy box with all his strength.
stress,Noun Verb,стресс,The demands of her job caused a lot of stress in her life.
stretch,Verb Noun,протяжение,She did some stretching exercises before starting her workout.
strict,Adjective,строгий,The teacher had strict rules in the classroom.
strike,Verb Noun,наносить удар,The boxer delivered a powerful strike to his opponent's jaw.
string,Noun,строка,She played the guitar and strummed the strings.
strong,Adjective,сильный,He has a strong physique from years of weightlifting.
strongly,Adverb,сильно,She felt strongly about protecting the environment.
structure,"Noun, Verb",структура,The company's organizational structure was reorganized to improve efficiency.
struggle,Verb Noun,борьба,She struggled to open the jar but eventually succeeded.
student,Noun,ученик,The students were attentive during the lecture.
studio,Noun,студия,He set up a small art studio in his garage.
study,Noun Verb,учиться,She spends several hours each day studying for her exams.
stuff,"Noun, Verb",материал,She packed her stuff into a suitcase for her trip.
stupid,Adjective,тупой,He made a stupid mistake and immediately regretted it.
style,Noun,стиль,She has a unique fashion style that stands out.
subject,"Noun, Adjective",тема,The subject of the lecture was climate change.
submit,Verb,Отправить,Please submit your application by the deadline.
substance,Noun,вещество,The scientist conducted experiments to analyze the properties of the substance.
succeed,Verb,добиться успеха,"With determination and hard work, she was able to succeed in her career."
success,Noun,успех,The entrepreneur celebrated the success of his new business venture.
successful,Adjective,успешный,He is a successful businessman with multiple companies.
successfully,Adverb,успешно,She completed the project successfully and received praise from her colleagues.
such,det./proNoun,такие,She has such a beautiful voice that everyone wants to listen to her sing.
sudden,Adjective,внезапно,The sudden noise startled the sleeping baby.
suddenly,Adverb,"вдруг, внезапно","He appeared suddenly at the door, surprising everyone in the room."
suffer,Verb,страдать,She suffered from a severe headache and had to lie down.
sugar,Noun,сахар,She added a spoonful of sugar to her coffee.
suggest,Verb,предлагать,He suggested going to a movie for their date night.
suggestion,Noun,предложение,She made a helpful suggestion to improve the team's performance.
suit,"Noun, Verb",подходить,The dress suits her perfectly and enhances her beauty.
suitable,Adjective,подходящее,This apartment is suitable for a small family.
sum,Noun Verb,сумма,The sum of all the numbers is 100.
summarize,Verb,подвести итог,"In conclusion, I would like to summarize the main points discussed."
summary,Noun,резюме,She wrote a brief summary of the book for her book report.
summer,Noun,лето,They spent their summer vacation at the beach.
sun,Noun,солнце,The sun was shining brightly in the clear blue sky.
Sunday,Noun,Воскресенье,They go to church every Sunday morning.
supermarket,Noun,супермаркет,She went to the supermarket to buy groceries for the week.
supply,Noun Verb,поставка,The supply of fresh produce was low due to bad weather conditions.
support,Verb Noun,служба поддержки,The customer support team provided assistance with technical issues.
supporter,Noun,сторонник,He is a strong supporter of environmental conservation.
suppose,Verb,предполагать,I suppose we could meet for lunch if you're available.
sure,"Adjective , Adverb",конечно,Are you sure you locked the door before leaving the house?
surely,Adverb,конечно,She will surely pass the exam.
surface,Noun,поверхность,The table's surface is smooth.
surgery,Noun,операция,He underwent heart surgery.
surprise,Noun,сюрприз,The party was a surprise for her.
surprise,Verb,удивлять,The unexpected news surprised me.
surprised,Adjective,удивлены,They were surprised by the outcome.
surprising,Adjective,удивительный,The magician performed a surprising trick.
surround,Verb,окружать,The garden is surrounded by a fence.
surrounding,Adjective,окружающих,The surrounding area is beautiful.
survey,Noun,опрос,They conducted a survey to gather opinions.
survey,Verb,осмотреть,The engineer surveyed the construction site.
survive,Verb,выжить,He managed to survive the accident.
suspect,Verb,подозревать,The detective suspected him of the crime.
suspect,Noun,подозреваемый,The suspect was arrested by the police.
swear,Verb,клясться,He swore to tell the truth in court.
sweater,Noun,свитер,She wore a cozy sweater in the cold weather.
sweep,Verb,подметать,She swept the floor with a broom.
sweet,Adjective,сладкий,The cake tasted sweet.
sweet,Noun,сладость,I bought some sweets for the kids.
swim,Verb,плавать,We like to swim in the pool during the summer.
swim,Noun,плавание,She won a gold medal in swimming.
swimming,Noun,плавание,Swimming is a popular sport.
switch,Verb,переключать,He switched off the lights before leaving.
switch,Noun,переключатель,Press the switch to turn on the fan.
symbol,Noun,условное обозначение,The heart shape is a symbol of love.
sympathy,Noun,симпатия,She expressed her sympathy for the grieving family.
symptom,Noun,симптом,Fever is a common symptom of the flu.
system,Noun,система,The computer system crashed unexpectedly.
table,Noun,стол,We sat around the table for dinner.
tablet,Noun,таблетка,She took a tablet to relieve her headache.
tail,Noun,хвостик,The cat wagged its tail happily.
take,Verb,принимать,Please take a seat and wait for your turn.
tale,Noun,рассказ,She enjoyed reading fairy tales as a child.
talent,Noun,талант,He has a natural talent for playing the piano.
talented,Adjective,талантливый,The young artist is incredibly talented.
talk,Verb,разговаривать,They like to talk about their hobbies.
